configuration_log_ID,gear,rotation_speed
1,2,122.121415461103
2,1,111.977475770937
3,1,137.268544233633
4,2,125.719071182672
5,1,134.710713277114
6,2,113.064278385337
7,1,127.285658129111
8,2,108.4576880003
9,2,131.158462942478
10,2,127.852129641177
11,1,135.889477803407
12,2,132.732413620744
13,1,137.297765203674
14,2,125.601729181027
15,1,125.053178308858
16,2,150.838730169662
17,2,116.511706496395
18,1,148.699566267144
19,1,118.109961344837
20,1,120.744577326765
21,1,130.634601444646
22,1,131.853640322161
23,2,142.327463552243
24,2,125.084941701227
25,2,131.726972427399
26,2,110.172926992466
27,2,113.777391315944
28,1,130.138282128052
29,1,134.812405279575
30,2,132.160267343407
31,1,128.024823381945
32,1,144.707795177519
33,1,126.044986812307
34,1,154.651916184141
35,1,131.18740306995
36,2,125.536288374537
37,1,135.930566099222
38,1,130.045092713931
39,1,119.306158114461
40,2,116.690308265158
41,2,152.754606042091
42,1,121.528338522478
43,1,139.178202591588
44,1,135.10549092337
45,1,142.948268544027
46,1,118.924785103167
47,2,131.182450588845
48,1,145.228074099865
49,1,135.137627412651
50,1,119.087882925439
51,2,131.089088678815
52,2,136.975130515777
53,1,104.093103601395
54,2,138.978991435446
55,1,126.003098602882
56,1,127.570141767528
57,2,133.711600066735
58,1,129.175481858007
59,1,139.410859000216
60,2,135.651601567769
61,1,133.74727890367
62,1,132.597883855204
63,2,121.818305976205
64,1,136.762108964079
65,2,136.488031729808
66,2,136.924438979977
67,1,140.423000790444
68,1,118.773672683793
69,1,128.698843424977
70,1,126.977399007544
71,2,137.497405955434
72,1,134.940415051024
73,1,129.819038275341
74,2,144.383839420073
75,1,144.914738356321
76,2,127.656334932289
77,2,148.899455642621
78,2,130.930663189085
79,2,141.528674098586
80,2,121.856027116282
81,2,129.245901923609
82,1,130.618489892203
83,1,129.180719830411
84,2,124.918277124523
85,1,108.30040314863
86,2,137.731305440462
87,2,139.672121844603
88,1,134.685744670472
89,2,135.870623871789
90,2,137.044698240879
91,1,119.200862190618
92,1,126.330848712142
93,2,116.764072369142
94,1,125.016372306408
95,1,142.615294125621
96,1,142.272680257824
97,2,129.884845298998
98,2,139.547762183842
99,1,130.821260678385
100,2,118.321449328777
101,2,123.748382452817
102,2,119.628310960648
103,1,122.465938929483
104,2,123.200588114331
105,2,112.70044274855
106,2,140.23635688976
107,2,129.503120232001
108,2,117.909513746783
109,2,134.72251489999
110,1,140.011099431895
111,2,140.413073163817
112,2,131.603020800011
113,2,155.090912346605
114,2,136.854990273328
115,1,118.334151578539
116,1,141.849473114497
117,2,141.559633986134
118,1,134.521863133609
119,2,127.318657556545
120,1,127.990680453618
121,2,135.625837132427
122,2,140.81261317558
123,2,141.664487262403
124,1,135.991886000791
125,2,122.88667960467
126,1,117.07279384185
127,2,117.790376825151
128,1,116.895832896859
129,2,123.945894690748
130,1,126.301794685363
131,1,108.419399506148
132,2,120.257870154762
133,1,100.957641962176
134,1,134.723165879412
135,2,134.045391600776
136,2,122.52582068782
137,1,146.730900117015
138,2,138.539183727148
139,2,137.672641723077
140,2,111.621020535037
141,2,131.731413834381
142,2,126.026033595751
143,1,134.62703225774
144,2,130.352003864398
145,2,128.959121235838
146,1,129.194732272412
147,2,121.928523187181
148,1,130.566494892398
149,2,143.544991549465
150,2,122.461933176994
151,1,108.27408943975
152,2,129.827458329561
153,1,130.127238067656
154,2,121.981161755433
155,2,132.723379488186
156,1,130.580115286089
157,1,139.667022474097
158,2,136.146292141114
159,1,143.272923792973
160,1,124.160046250008
161,2,143.580251224825
162,2,146.48881484452
163,1,136.44007046069
164,2,111.243864437946
165,1,126.076501571345
166,2,126.28639030127
167,1,129.291794423716
168,2,122.871871867069
169,1,131.166145342442
170,1,131.645716247833
171,1,141.481301988015
172,2,123.325460345899
173,2,140.304823581455
174,2,139.201150072831
175,2,130.690771452977
176,1,146.418481829378
177,2,133.060187386839
178,2,123.357408524876
179,2,127.264728741989
180,2,138.947705928614
181,1,122.98728498559
182,1,133.93740898119
183,1,124.99612104256
184,1,133.086849066809
185,1,135.237950910544
